"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 14:17:08 UTC 2025","Fri May 16 14:17:08 UTC 2025","826","Login","","","","","Login com senha inválida",""
"passed","Fri May 16 14:17:12 UTC 2025","Fri May 16 14:17:14 UTC 2025","1299","Logout","","","","","Logout bem-sucedido",""
"passed","Fri May 16 14:17:05 UTC 2025","Fri May 16 14:17:07 UTC 2025","2244","Login","","","","","Login bem-sucedido",""
